Symbiont accepted name;Host accepted name;Ocean origin;Region origin;Country origin
Amoebophrya ceratii-species complex;Podolampas bipes;Mediterranean Sea;Ionian Sea;
Amoebophrya ceratii-species complex;Alexandrium fundyense;Atlantic;Nauset Marsh system;
Symbiodinium sp.;Tiarina sp.;Mediterranean Sea;Villefranche Bay;France
Pseudocollinia similis;Thysanoessa spinifera;Pacific;coasts of Washington;
Pseudocollinia oregonensis;Euphausia pacifica;Pacific;coasts of Washington;
Pseudocollinia brintoni;Nyctiphanes simplex;Pacific;Magdalena Bay;Mexico
Pseudocollinia brintoni;Nyctiphanes simplex;Pacific;Gulf of California;
Ichthyodinium chabelardi;Sardina pilchardus;Atlantic;Ria de Vigo;Spain
Ichthyodinium chabelardi;Sardina pilchardus;Atlantic;off Sesimbra;Portugal
Ichthyodinium chabelardi;Boops boops;Atlantic;off Sesimbra;Portugal
Ichthyodinium chabelardi;Sardina pilchardus;Atlantic;Canyon of Nazare;Portugal
Ichthyodinium chabelardi;Sardina pilchardus;Atlantic;Canyon of Nazare;Portugal
Ichthyodinium sp. Asian clade;Plectropomus leopardus;East China Sea;Ishigaki;Japan
Ichthyodinium sp. Asian clade;Plectropomus leopardus;East China Sea;Ishigaki;Japan
Ichthyodinium sp. Asian clade;Plectropomus leopardus;East China Sea;Ishigaki;Japan
Ichthyodinium sp. Asian clade;Plectropomus leopardus;East China Sea;Ishigaki;Japan
Ichthyodinium sp. Asian clade;Plectropomus leopardus;East China Sea;Ishigaki;Japan
Ichthyodinium sp. Asian clade;Plectropomus leopardus;East China Sea;Ishigaki;Japan
Ichthyodinium sp. Asian clade;Plectropomus leopardus;East China Sea;Ishigaki;Japan
Ichthyodinium sp. Asian clade;Thunnus albacares;Bali Sea;Bali;Indonesia
Ichthyodinium sp. Asian clade;Thunnus albacares;Bali Sea;Bali;Indonesia
Ichthyodinium chabelardi;Anguilla anguilla;North Sea;;Denmark
Ichthyodinium chabelardi;Scomber scombrus;Atlantic;;
Ichthyodinium sp. Asian clade;Pisces (Fish);China Sea;Nha Trang Bay;Viet nam
Ichthyodinium sp. Asian clade;Pisces (Fish);China Sea;Nha Trang Bay;Viet nam
Ichthyodinium sp. Asian clade;Pisces (Fish);China Sea;Nha Trang Bay;Viet nam
Ichthyodinium sp. Asian clade;Pisces (Fish);China Sea;Nha Trang Bay;Viet nam
Ichthyodinium sp. Asian clade;Thunnus orientalis;;Wakayama_prefecture;Japan
Ichthyodinium chabelardi;Sardina pilchardus;Adriatic Sea;;Croatie
Ichthyodinium chabelardi;Sardina pilchardus;Mediterranean Sea;;Alger
Ichthyodinium chabelardi;Maurolicus muelleri;Mediterranean Sea;;Alger
Ichthyodinium chabelardi;Sparus aurata;Mediterranean Sea;;Alger
Ichthyodinium chabelardi;Sardina pilchardus;Atlantic Ocean;off Portugal coast;Portugal
Ichthyodinium chabelardi;Sardina pilchardus;Mediterranean Sea;eastern central Adriatic;Croatie
Ichthyodinium chabelardi;Gadus morhua;Baltic Sea;;Denmark
Ichthyodinium chabelardi;Sardina pilchardus;Atlantic Ocean;off Portugal coast;Portugal
Ichthyodinium chabelardi;Engraulis encrasicolus;Mediterranean Sea;Strait of Sicily;Italy
Ichthyodinium chabelardi;Gadus morhua;Baltic Sea;;Denmark
Ichthyodinium chabelardi;Scophthalmus maximus;Baltic Sea;;Denmark
Tintinnophagus acutus;Tintinnopsis cylindrica;Atlantic Ocean;;
Euduboscquella cachoni;Eutintinnus pectinis;Atlantic Ocean;Chesapeake Bay;
Euduboscquella crenulata;Favella panamensis;Atlantic Ocean;Maryland;
Euduboscquella crenulata;Favella ehrenbergii;Pacific;Shizuoka;Japan
Euduboscquella cachoni;Eutintinnus tenuis;Atlantic Ocean;;
Euduboscquella cachoni;Eutintinnus pectinis;Atlantic Ocean;Chesapeake Bay;
Euduboscquella crenulata;Favella panamensis;Atlantic Ocean;;
Euduboscquella sp. Masan Bay (Korea);Favella panamensis;;;South Korea
Euduboscquella cf crenulata Rhode River, MD;Tintinnopsis cf subacuta;Atlantic Ocean;;
Euduboscquella cf crenulata Rhode River, MD;Tintinnopsis major;Atlantic Ocean;;
Euduboscquella sp. Villefranche-sur-Mer (France);Favella markusovszkyi;Mediterranean Sea;;France
Euduboscquella cf crenulata Villefranche-sur-Mer (France);Tintinnopsis sp;Mediterranean Sea;;France
Euduboscquella sp. Assawoman Bay, MD;Favella arcuata;Atlantic Ocean;Maryland;
Euduboscquella crenulata;Favella panamensis;Atlantic Ocean;;
Euduboscquella crenulata;Favella panamensis;Atlantic Ocean;Florida;
Euduboscquella crenulata;Favella panamensis;Atlantic Ocean;Maryland;
Euduboscquella sp. Masan Bay (Korea);Favella ehrenbergii;;Hokkaido;Japan
Duboscquodinium collini;Eutintinnus fraknoii;Mediterranean Sea;;France
Euduboscquella aspida;Favella panamensis;Atlantic Ocean;Florida;
Euduboscquella aspida;Favella panamensis;Atlantic Ocean;Maryland;
Euduboscquella melo;Noctiluca scintillans;Mediterranean Sea;;Alger
Euduboscquella nucleocola;Leptodiscus medusoides;Mediterranean Sea;;Alger
Syndinium turbo;Calanus finmarchicus;Clyde Sea;Glasgow;
Syndinium turbo;Corycaeus crassiusculus;Mediterranean Sea;;France
